# Category verdicts for pairs the registry cannot classify.
#
# categorize() in scripts/export_pairs.py resolves `stock` and `term` from the
# upstream registry and `number` from digits; everything else falls through to
# `other`. That fall-through is a registry miss, not a vocabulary kind, and it
# was 42 of 135 pairs - so the field said nothing useful about a third of the
# snapshot, and the exporter reprinted the same 42 lines as "review before
# release" on every run with nowhere to record a verdict.
#
# This file is that record, and it works like state.json's seen_person: a pair
# listed here is reviewed, so the release list shrinks to what is actually new.
#
# Columns: wrong <TAB> right <TAB> category <TAB> why
# Categories: stock (a listed company or market index), term (finance or
# industry vocabulary), number, other (a domain entity with no registry
# identity - private companies, brands, products), general (ordinary Korean
# with no domain content; it ships because the pipeline verifies whatever it
# finds, and this label is what lets a consumer filter it out).
#
# Reviewed 2026-09-02 against the 135-pair snapshot.

블랙락	블랙록	stock	BlackRock; listed, registry holds no Korean transliteration
마이콘 테크놀로지	마이크론 테크놀로지	stock	Micron; listed, multi-word Korean form misses the registry
마이크 테크놀로지	마이크론 테크놀로지	stock	same entity, second misrecognition
코싹이	코스닥이	stock	KOSDAQ index; the particle keeps the surface out of the registry
코스하고	코스닥으로	stock	same index, inflected surface
코사 넣어	코스닥 넣어	stock	same index, followed by a verb rather than a particle
나상은	나스닥은	stock	NASDAQ index, particle-attached surface
수납매	순환매	term	sector rotation
장기체	장기채	term	long-dated bonds
미국체	미국채	term	US Treasuries
해치 펀드	헤지 펀드	term	hedge fund
해제 펀드	헤지 펀드	term	hedge fund, second misrecognition
실험률	실업률	term	unemployment rate
하이퍼스러들	하이퍼스케일러들	term	hyperscalers; industry vocabulary, plural surface
지정확정 리스크	지정학적 리스크	term	geopolitical risk
지정확전 리스크	지정학적 리스크	term	geopolitical risk, second misrecognition
제약 바위	제약 바이오	term	pharma/bio sector name
기적 분석	기술적 분석	term	technical analysis
역초세	역추세	term	counter-trend
종목면	종목명	term	ticker name field
ACDS	HTS	term	home trading system
소부 장단에	소부장에	term	materials/parts/equipment sector abbreviation
소부 장단이	소부장이	term	same abbreviation, particle series
소부 장단들	소부장들	term	same abbreviation, particle series
소부 장단도	소부장도	term	same abbreviation, particle series
소부 장단안에서	소부장 안에서	term	same abbreviation, following phrase
소부 장단을	소부장을	term	same abbreviation, particle series
줄린이의 법칙	주린이의 법칙	term	retail-investor slang
K뷰T	K뷰티	term	sector theme
4쪽 보행	사족 보행	term	quadruped locomotion; robotics vocabulary, the subject of the stocks discussed
엔트로픽	앤트로픽	other	Anthropic; private company, no ticker
엔트로피	앤트로픽	other	same company, second misrecognition
보스턴 다이네믹스	보스턴 다이내믹스	other	Boston Dynamics; subsidiary, not separately listed
올리브형	올리브영	other	Olive Young; brand of an unlisted operator
갤러시	갤럭시	other	Galaxy; product line, not an issuer
지진난주	지지난주	general	'the week before last'
등뜸이는	등 떠미는	general	'pushing from behind'
감만해도	감안해도	general	'even taking into account'
경원자	경영자	general	'manager'; ordinary business word, not finance vocabulary
노크먼트	노코멘트	general	'no comment'
머비의 법칙	머피의 법칙	general	Murphy's law
머표 법칙	머피의 법칙	general	Murphy's law, second misrecognition
삼성자는	삼성전자는	stock	Samsung Electronics; particle-attached key added 2026-09 in place of the bare 삼성자
삼성자가	삼성전자가	stock	same, particle series
삼성자를	삼성전자를	stock	same, particle series
삼성자도	삼성전자도	stock	same, particle series
삼성자와	삼성전자와	stock	same, particle series
1라리가	일라이릴리가	stock	Eli Lilly; particle-attached surface keeps it out of the registry
시가총이	시가총액이	term	market capitalisation, particle preserved
고형 지표	고용 지표	term	employment indicator; macro release the market trades on
골고로	골고루	general	ordinary adverb
골드만 싹스	골드만 삭스	stock	Goldman Sachs; the Korean transliteration misses the registry
기수적 분석	기술적 분석	term	technical analysis, second misrecognition of the same phrase
기술 탈치를	기술 탈취를	term	technology theft; corporate-governance vocabulary in stock coverage
누리오 발사	누리호 발사	other	Nuri launch vehicle; a domain entity with no registry identity
다컴버블	닷컴 버블	term	dot-com bubble
대돌림 구간	되돌림 구간	term	retracement
대차장고	대차잔고	term	short-sale balance
대학마로	대항마로	general	ordinary word (대항마) with a particle
디램과 랜드 플래시	디램과 낸드 플래시	term	DRAM and NAND flash
롱쇼 전략	롱숏 전략	term	long/short strategy
먹걸리	먹거리	general	ordinary word
몇밀히	면밀히	general	ordinary adverb
반체 소부장	반도체 소부장	term	semiconductor materials/parts/equipment sector
부총제	부총재	term	deputy governor; central-bank role quoted for rate signals
사무 펀드	사모 펀드	term	private equity fund
선재적으로	선제적으로	general	ordinary adverb
손바임	손바뀜	term	change of hands; market jargon for turnover
순고르기	숨고르기	general	ordinary word, used metaphorically for a pause in the market
연한산 매출	연환산 매출	term	annualised revenue
외안 보유고	외환 보유고	term	foreign exchange reserves
잭슨놀 미팅	잭슨홀 미팅	term	Jackson Hole symposium
전환사체	전환사채	term	convertible bond
출화량	출하량	term	shipments
컨서시엄	컨소시엄	term	consortium
턴라운드	턴어라운드	term	turnaround
하이버스케일	하이퍼스케일	term	hyperscale
허들 웨이트	허들 레이트	term	hurdle rate
휘발류	휘발유	term	gasoline; energy-sector commodity
희등 카드	히든 카드	general	ordinary idiom
